county_fips,county_name,state_fips,state_abbr,total_population,total_households,median_household_income,median_age,pct_65_plus,pct_rural,pct_served,pct_underserved,pct_unserved,pct_below_benchmark,complaints_total,complaints_per_1k_hh,complaints_wireless_wireline,complaints_internet,complaints_tv_video,complaints_emergency,complaints_radio,complaints_accessibility,complaints_billing_dispute,complaints_other,desert_cutoff,is_digital_desert,data_center_count,planned_count,planned_mw,operational_mw,modeled_water_l_per_year,c_availability_gap,c_complaint_friction,c_socioeconomic,equity_index,infra_norm,access_norm,mismatch_score,mismatch_quadrant
01001,Autauga County,,,36948,13994,61871,40.5,0.1824,0.3814,0.6231,0.3769,0.0,0.3769,283,20.22,202,48,24,4,4,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.39993633276740237,0.6975047984644913,0.4211329392656913,50.94,0.0,0.5216241085806302,0.0,low_compute_underserved
01003,Baldwin County,,,6730,2442,38645,40.2,0.2492,0.7419,0.3577,0.4801,0.1623,0.6423,38,15.56,27,6,3,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.6815577249575552,0.5186180422264876,0.7445681426047299,64.03,0.0,0.6721877156659766,0.0,low_compute_underserved
01005,Barbour County,,,64975,22997,75036,35.2,0.0998,0.152,0.8375,0.1432,0.0193,0.1625,257,11.18,184,43,22,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.1724320882852292,0.3504798464491362,0.20064559704751084,24.18,0.0,0.21382562686910514,0.0,low_compute_served
01007,Bibb County,,,82663,30811,68329,38.3,0.1521,0.3444,0.8507,0.1451,0.0042,0.1493,565,18.34,404,95,49,7,7,2,1,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.1584252971137521,0.6253358925143954,0.3458941480735144,36.87,0.0,0.35978835978835977,0.0,low_compute_served
01009,Blount County,,,2123,716,33879,43.3,0.2612,0.9828,0.3309,0.4765,0.1926,0.6691,15,20.95,11,3,1,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.7099957555178269,0.7255278310940498,0.8682777514461759,75.5,0.0,0.804117782378652,0.0,low_compute_underserved
01011,Bullock County,,,4828,1765,39917,44.8,0.2139,0.8311,0.4635,0.3755,0.161,0.5365,34,19.26,24,6,3,0,0,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5692911714770797,0.6606525911708253,0.7449077805840665,64.52,0.0,0.6778237865194386,0.0,low_compute_underserved
01013,Butler County,,,29533,10776,67241,38.7,0.1059,0.3082,0.6818,0.1955,0.1226,0.3182,122,11.32,87,21,10,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.3376485568760611,0.35585412667946253,0.3111643728047857,33.74,0.0,0.3237865194386934,0.0,low_compute_served
01015,Calhoun County,,,16829,6564,55133,40.2,0.159,0.3982,0.6811,0.2509,0.0681,0.3189,72,10.97,51,12,6,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.3383913412563667,0.34241842610364687,0.4570952079706376,36.95,0.0,0.36070853462157815,0.0,low_compute_served
01017,Chambers County,,,24590,8900,58068,37.4,0.1565,0.3578,0.7046,0.1871,0.1083,0.2954,58,6.52,41,10,5,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.31345500848896435,0.17159309021113242,0.4217978977731092,29.09,0.0,0.270301357257879,0.0,low_compute_served
01019,Cherokee County,,,8528,3182,37938,47.6,0.249,0.8102,0.4599,0.3128,0.2274,0.5401,59,18.54,42,10,5,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5731112054329371,0.6330134357005758,0.7730606200249802,64.41,0.0,0.6765585461237634,0.0,low_compute_underserved
